timestamp;LoadavgPercent_MIN;LoadavgPercent_MAX;LoadavgPercent_AVERAGE;ldavg-1_MIN;ldavg-1_MAX;ldavg-1_AVERAGE;ldavg-5_MIN;ldavg-5_MAX;ldavg-5_AVERAGE;ldavg-15_MIN;ldavg-15_MAX;ldavg-15_AVERAGE;runq-sz_MIN;runq-sz_MAX;runq-sz_AVERAGE;plist-sz_MIN;plist-sz_MAX;plist-sz_AVERAGE;blocked_MIN;blocked_MAX;blocked_AVERAGE
1615267740;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;536.68;536.68;536.68;0;0;0
1615267800;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;536.68;536.68;536.68;0;0;0
1615267860;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;536.68;536.68;536.68;0;0;0
1615267920;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;536.68;536.68;536.68;0;0;0
1615267980;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;536.68;536.68;536.68;0;0;0
1615268040;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;531.24;531.24;531.24;0;0;0
1615268100;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;531.24;531.24;531.24;0;0;0
1615268160;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;531.24;531.24;531.24;0;0;0
1615268220;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;531.24;531.24;531.24;0;0;0
1615268280;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;531.24;531.24;531.24;0;0;0
1615268340;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;531;531;531;0;0;0
1615268400;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;531;531;531;0;0;0
1615268460;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;531;531;531;0;0;0
1615268520;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;531;531;531;0;0;0
1615268580;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;531;531;531;0;0;0
1615268640;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;531;531;531;0;0;0
1615268700;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;531;531;531;0;0;0
1615268760;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;531;531;531;0;0;0
1615268820;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;531;531;531;0;0;0
1615268880;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;531;531;531;0;0;0
1615268940;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;531;531;531;0;0;0
1615269000;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;531;531;531;0;0;0
1615269060;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;531;531;531;0;0;0
1615269120;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;531;531;531;0;0;0
1615269180;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;531;531;531;0;0;0
1615269240;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;543.48;543.48;543.48;0;0;0
1615269300;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;543.48;543.48;543.48;0;0;0
1615269360;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;543.48;543.48;543.48;0;0;0
1615269420;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;543.48;543.48;543.48;0;0;0
1615269480;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;543.48;543.48;543.48;0;0;0
1615269540;0.36;0.36;0.36;0.0576;0.0576;0.0576;0.0292;0.0292;0.0292;0.05;0.05;0.05;0;0;0;537.28;537.28;537.28;0;0;0
1615269600;0.36;0.36;0.36;0.0576;0.0576;0.0576;0.0292;0.0292;0.0292;0.05;0.05;0.05;0;0;0;537.28;537.28;537.28;0;0;0
1615269660;0.36;0.36;0.36;0.0576;0.0576;0.0576;0.0292;0.0292;0.0292;0.05;0.05;0.05;0;0;0;537.28;537.28;537.28;0;0;0
1615269720;0.36;0.36;0.36;0.0576;0.0576;0.0576;0.0292;0.0292;0.0292;0.05;0.05;0.05;0;0;0;537.28;537.28;537.28;0;0;0
